S,I,R
0.41739699957818,5.05453307563861e-07,0.582602494968512
0.417396974868963,4.90698546902309e-07,0.58260253443249
0.417396899657567,4.45782696001386e-07,0.582602654559736
0.417396790097244,3.80352663487597e-07,0.582602829550092
0.417396664572585,3.05388012158956e-07,0.582603030039402
0.417396531042365,2.25641855348333e-07,0.582603243315779
0.417396396584186,1.45341058955965e-07,0.582603458074754
0.417396267394472,6.8186241449452e-08,0.582603664419286
0.417396148788473,-2.64822613624166e-09,0.582603853859753
0.417396045200261,-6.45142201987869e-08,0.582604019313959
0.417395960182735,-1.1528986456849e-07,0.582604155107129
0.417395896407616,-1.53379530508295e-07,0.582604256971914
0.417395855665451,-1.77713836713779e-07,0.582604322048385
0.417395838865609,-1.87749649313157e-07,0.58260434888404
0.417395846036286,-1.83470081867275e-07,0.582604337433795
0.4173958763245,-1.65384495369622e-07,0.582604289059995
0.417395927996095,-1.34528498246319e-07,0.582604206532403
